"Sersic ID","Sersic BA","GZB axis ratio"
21096909,0.72347164,0.5967460628449287
21686558,0.8987987,0.7717395787123181
21686570,0.7321237,0.6745734390309138
21097008,0.64389646,0.6334964158246864
20902008,0.80701834,0.6941395207658025
21686612,0.48485604,0.5408382036594066
21686607,0.8291169,0.6790681632200898
21686559,0.9497949,0.75251887049982
21096922,0.85943973,0.728721753903102
21686610,0.8517075,0.6480516661027635
20902022,0.6352073,0.6112608740946608
21686566,0.71985257,0.5756177775622001
21096891,0.7817636,0.6936684175632409
21686603,0.9285355,0.8581347832168426
21096878,0.90661186,0.7282413648921043
21096919,0.6261346,0.5821240253866177
20902080,0.8090993,0.7065689740799245
20902081,0.8517075,0.7587889867845172
20902040,0.64358324,0.6417266133824487
20902083,0.48485604,0.5295414405694594
20902082,0.88465637,0.7799418814027388
20902041,0.7321237,0.7171289086612308
21096940,0.79588556,0.7149509322112235
21096987,0.79043144,0.702278353900579
21096950,0.60516226,0.5676983037652527
20902079,0.8109112,0.6173198700746582
20902086,0.40067935,0.49213134715100726
20902050,0.70649374,0.7142883774675378
20902078,0.8291169,0.7334555921720137
21096990,0.4964627,0.600403130292888
20902085,0.5187684,0.49631684346541305
20902084,0.59213495,0.5367402695639607
21096787,0.6887863,0.591578497031721
20902077,0.54117274,0.5099601820203516
21096976,0.5141624,0.5079250711481297
21096790,0.8214692,0.7066440811120979
20902064,0.7054718,0.6264225145510725
21096811,0.8521542,0.7288095022631822
21096794,0.84463733,0.6307809287432716
21096972,0.80094934,0.8149064989002661
21096966,0.76693994,0.6717778190899364
21686523,0.8746747,0.6497522068891556
21686593,0.7054718,0.6088585424996391
21686587,0.8866237,0.8339829684024305
21096915,0.6440035,0.5742635707374713
21686546,0.72518486,0.7053759581802671
21097016,0.8288383,0.7211065019673477
21097003,0.6661008,0.5290106585432295
21686584,0.81624913,0.6089361454600021
21686547,0.6261096,0.5721460817894155
21096912,0.7049049,0.66994583360974
21096872,0.66905123,0.7228224940903991
21686568,0.79009175,0.7088536012781939
20902011,0.9821595,0.7790495535357661
20902039,0.79009175,0.75665560023818
21686569,0.64358324,0.6324385005036617